block_size,annual_log_returns_variance
765,0.03272781
766,0.03273454
767,0.03272979
768,0.032730818
769,0.0327119
770,0.032725472
771,0.032703865
772,0.03273571
773,0.03272695
774,0.03272708
775,0.03272858
776,0.03271807
777,0.032737214
778,0.032707818
779,0.032711927
780,0.032727998
781,0.032724217
782,0.03273583
783,0.03271556
784,0.03273284
785,0.03272645
786,0.032705273
787,0.032721933
788,0.032736905
789,0.03273068
790,0.032697525
791,0.032725815
792,0.032724272
793,0.03273242
794,0.032714944
795,0.03270521
796,0.032711502
797,0.032724157
798,0.03271312
799,0.03272477
800,0.03272886
801,0.032734543
802,0.032726064
803,0.032743108
804,0.032722473
805,0.03271397
806,0.03272584
807,0.032728408
808,0.03271512
809,0.032718755
810,0.032721337
811,0.03272172
812,0.032741997
813,0.032722592
814,0.03273767
815,0.032717697
816,0.032709047
817,0.03272692
818,0.03273442
819,0.032733757
820,0.032725155
821,0.03273287
822,0.032716867
823,0.03272296
824,0.032735072
825,0.03271732
826,0.03272146
827,0.032724846
828,0.03272735
829,0.032728106
830,0.032715976
831,0.03271208
832,0.032697137
833,0.03272397
834,0.03273327
835,0.03272763
836,0.032716773
837,0.032723043
838,0.032735057
839,0.03272344
840,0.032710638
841,0.032728374
842,0.032723304
843,0.032717366
844,0.03274413
845,0.032735247
846,0.032722753
847,0.032735012
848,0.03272485
849,0.032703795
850,0.03273717
851,0.032740247
852,0.03271312
853,0.0327163
854,0.032733385
855,0.032708064
856,0.03273093
857,0.032741766
858,0.032725576
859,0.0327298
860,0.032742582
861,0.032723777
862,0.0326967
863,0.032715514
864,0.03274907
865,0.03271777
866,0.032755975
867,0.032704566
868,0.03273109
869,0.032746565
870,0.032733638
871,0.032717273
872,0.032702547
873,0.032743838
874,0.032705236
875,0.032741163
876,0.032707494
877,0.03274886
878,0.032710098
879,0.032733843
880,0.03273716
881,0.032725092
882,0.03273494
883,0.032755602
884,0.032734036
885,0.032730132
886,0.032727987
887,0.03272022
888,0.032733362
889,0.032722313
890,0.032738656
891,0.03273118
892,0.032759137
893,0.032739356
894,0.032750666
895,0.032743976
896,0.0327174
897,0.03274714
898,0.032733493
899,0.032727577
900,0.032742668
901,0.032742545
902,0.032730803
903,0.032743268
904,0.032743786
905,0.032749932
906,0.032707937
907,0.03271759
908,0.032741524
909,0.032738697
910,0.032730773
911,0.03272343
912,0.032738023
913,0.03273473
914,0.03272639
915,0.032736577
916,0.0327204
917,0.03273772
918,0.032727588
919,0.03275261
920,0.03273409
921,0.032755908
922,0.032730468
923,0.032734018
924,0.03273193
925,0.03274901
926,0.032725763
927,0.03272437
928,0.032731574
929,0.03273361
930,0.032725424
931,0.032751
932,0.032711033
933,0.03273439
934,0.03269332
935,0.0327553
936,0.03272039
937,0.032707937
938,0.032745082
939,0.032736175
940,0.032720514
941,0.032734912
942,0.032744262
943,0.032743137
944,0.03273615
945,0.032744966
946,0.032735992
947,0.03272251
948,0.032722216
949,0.032726064
950,0.032727323
951,0.03274639
952,0.03273856
953,0.03273922
954,0.032758933
955,0.03272952
956,0.032718148
957,0.0327365
958,0.032711703
959,0.032745708
960,0.032750174
961,0.032721546
962,0.032703552
963,0.03275097
964,0.032721885
965,0.032731704
966,0.03274231
967,0.032714028
968,0.032731593
969,0.032717977
970,0.032739308
971,0.032735944
972,0.032749213
973,0.03272518
974,0.03272553
975,0.03274411
976,0.032721147
977,0.0327155
978,0.032736655
979,0.03271855
980,0.032741603
981,0.032721236
982,0.032741714
983,0.032716528
984,0.032720633
985,0.03272418
986,0.032727066
987,0.03273106
988,0.032752384
989,0.032734104
990,0.032734938
991,0.03273951
992,0.03274481
993,0.03272311
994,0.032723792
995,0.03274615
996,0.03273496
997,0.032712616
998,0.0327404
999,0.032738756
1000,0.03274434
1001,0.032744315
1002,0.03271352
1003,0.03271358
1004,0.03275083
1005,0.032731857
1006,0.032732815
1007,0.032741886
1008,0.03274377
1009,0.03273199
1010,0.03273948
1011,0.03272689
1012,0.03273666
1013,0.032745212
1014,0.032722495
1015,0.032742262
1016,0.032735214
1017,0.032734413
1018,0.032724485
1019,0.032741155
1020,0.032741982
1021,0.032709077
1022,0.032737717
1023,0.03272889
1024,0.032744072
1025,0.032752436
1026,0.03273199
1027,0.03273637
1028,0.032715246
1029,0.032747112
1030,0.032743916
1031,0.032732606
1032,0.032746673
1033,0.032732427
1034,0.03274948
1035,0.03275365
1036,0.032734826
1037,0.032735057
1038,0.032746796
1039,0.0327275
1040,0.032748446
1041,0.032739013
1042,0.032736808
1043,0.032749888
1044,0.032728102
1045,0.032753564
1046,0.032743793
1047,0.03273503
1048,0.03273136
1049,0.03273459
1050,0.032743283
1051,0.03275228
1052,0.032745432
1053,0.032724034
1054,0.03272867
1055,0.032750536
1056,0.03274788
1057,0.03275758
1058,0.032758173
1059,0.032730196
1060,0.032715723
1061,0.03271696
1062,0.03274214
1063,0.032732125
1064,0.032720346
1065,0.03274552
1066,0.032755114
1067,0.03272791
1068,0.032719057
1069,0.03274398
1070,0.032743692
1071,0.032748893
1072,0.032739684
1073,0.03272319
1074,0.03274904
1075,0.03276097
1076,0.03276012
1077,0.032752212
1078,0.032758486
1079,0.032755304
1080,0.032761432
1081,0.03274515
1082,0.03275759
1083,0.03277283
1084,0.032750625
1085,0.03271772
1086,0.032731794
1087,0.03274111
1088,0.03271608
1089,0.032733697
1090,0.032741815
1091,0.03274084
1092,0.032750603
1093,0.03275631
1094,0.032743245
1095,0.03275235
1096,0.032733712
1097,0.03275329
1098,0.032745983
1099,0.032752432
1100,0.032768574
1101,0.032743555
1102,0.032751165
1103,0.03274305
1104,0.032713674
1105,0.03271764
1106,0.032737598
1107,0.032730967
1108,0.032735407
1109,0.03271809
1110,0.03273042
1111,0.032776695
1112,0.032753505
1113,0.03273649
1114,0.032739412
1115,0.032751877
1116,0.032757826
1117,0.03276787
1118,0.032750085
1119,0.03276028
1120,0.032738507
1121,0.032729074
1122,0.032739278
1123,0.032733914
1124,0.032725986
1125,0.03274236
1126,0.03275233
1127,0.03272908
1128,0.03272778
1129,0.032752536
1130,0.032749247
1131,0.032748543
1132,0.032718778
1133,0.032750994
1134,0.032770045
1135,0.032750256
1136,0.03274294
1137,0.032749806
1138,0.032747604
1139,0.032733943
1140,0.032755304
1141,0.032728024
1142,0.032724712
1143,0.032747716
1144,0.032714006
1145,0.032734416
1146,0.03276127
1147,0.032726172
1148,0.032735232
1149,0.032749176
1150,0.032735575
1151,0.032737583
1152,0.032769065
1153,0.032758936
1154,0.03274024
1155,0.03273393
1156,0.032771025
1157,0.032736007
1158,0.032728493
1159,0.032753076
1160,0.03274472
1161,0.032736935
1162,0.03273844
1163,0.03274715
1164,0.032746293
1165,0.03275574
1166,0.03274909
1167,0.03272249
1168,0.032756235
1169,0.032735493
1170,0.032743122
1171,0.032747563
1172,0.032738835
1173,0.032738376
1174,0.032746278
1175,0.032751083
1176,0.03272742
1177,0.03273034
1178,0.03274886
1179,0.03273772
1180,0.032723777
1181,0.032747526
1182,0.032761723
1183,0.032745868
1184,0.032758933
1185,0.03273146
1186,0.032744873
1187,0.0327387
1188,0.032739107
1189,0.032748044
1190,0.03276365
1191,0.03274213
1192,0.032726727
1193,0.032770663
1194,0.03273235
1195,0.03273372
1196,0.03274388
1197,0.032758057
1198,0.032730952
1199,0.03272161
1200,0.032753866
1201,0.03274956
1202,0.032766704
1203,0.032752234
1204,0.03272312
1205,0.03272252
1206,0.032750726
1207,0.03274529
1208,0.03274629
1209,0.03274572
1210,0.03271715
1211,0.032731052
1212,0.03276117
1213,0.032754313
1214,0.032717
1215,0.032755006
1216,0.032760203
1217,0.032742046
1218,0.032730624
1219,0.032758575
1220,0.032762673
1221,0.03273187
1222,0.032713965
1223,0.032735236
1224,0.032753374
1225,0.032755703
1226,0.032726727
1227,0.03273982
1228,0.032768663
1229,0.032762587
1230,0.032741606
1231,0.0327443
1232,0.032767653
1233,0.03276842
1234,0.03275432
1235,0.032750446
1236,0.032753285
1237,0.032754406
1238,0.032737825
1239,0.03272484
1240,0.032746945
1241,0.032754004
1242,0.03274798
1243,0.032719627
1244,0.0327404
1245,0.032745514
1246,0.032738637
1247,0.032743417
1248,0.032735568
1249,0.032752622
1250,0.032746322
1251,0.032763295
1252,0.032756887
1253,0.03277691
1254,0.032757424
1255,0.032721654
1256,0.032729723
1257,0.03275169
1258,0.0327457
1259,0.032736287
1260,0.032714278
1261,0.032754738
1262,0.032758605
1263,0.032737087
1264,0.03271711
1265,0.032723896
1266,0.032738253
1267,0.03276126
1268,0.03277085
1269,0.03274668
1270,0.032739908
1271,0.032766096
1272,0.03279017
1273,0.0327738
1274,0.032755945
1275,0.032766923
1276,0.03274634
1277,0.032754555
1278,0.03276973
1279,0.03275163
1280,0.032750342
1281,0.032748118
1282,0.03275036
1283,0.032745898
1284,0.032749843
1285,0.03273804
1286,0.03274334
1287,0.03274865
1288,0.032771427
1289,0.032770142
1290,0.03276315
1291,0.032756276
1292,0.032741077
1293,0.032744944
1294,0.032744717
1295,0.03275224
1296,0.032770723
1297,0.032787967
1298,0.03277268
1299,0.032781124
1300,0.032769524
1301,0.032729756
1302,0.03272828
1303,0.03276102
1304,0.032786686
1305,0.032773286
1306,0.032758005
1307,0.03274861
1308,0.032731004
1309,0.032728273
1310,0.03274651
1311,0.03274975
1312,0.032750197
1313,0.032748707
1314,0.03274644
1315,0.032737102
1316,0.03275299
1317,0.03276859
1318,0.03275299
1319,0.032753672
1320,0.03273708
1321,0.032735296
1322,0.032718986
1323,0.032722514
1324,0.032741822
1325,0.032736447
1326,0.032739785
1327,0.032730453
1328,0.032744125
1329,0.032739714
1330,0.03274885
1331,0.032779064
1332,0.03278368
1333,0.032772038
1334,0.032755256
1335,0.032763433
1336,0.032755975
1337,0.0327612
1338,0.032759123
1339,0.03276184
1340,0.032742757
1341,0.03274944
1342,0.032754745
1343,0.032759216
1344,0.032747164
1345,0.03275032
1346,0.032735903
1347,0.032722138
1348,0.032720316
1349,0.03275615
1350,0.032766037
1351,0.032756783
1352,0.032749135
1353,0.032764673
1354,0.032743
1355,0.032749236
1356,0.032726336
1357,0.032744806
1358,0.032768633
1359,0.032759503
1360,0.03276451
1361,0.03277579
1362,0.032754116
1363,0.03272353
1364,0.0327293
1365,0.032767687
1366,0.03275927
1367,0.032751534
1368,0.03273781
1369,0.03276029
1370,0.032761965
1371,0.032761984
1372,0.032731604
1373,0.032746732
1374,0.03273684
1375,0.03274847
1376,0.03276331
1377,0.032778297
1378,0.032789238
1379,0.03276906
1380,0.032753818
1381,0.032749586
1382,0.032748364
1383,0.032751705
1384,0.032754637
1385,0.032751575
1386,0.032749657
1387,0.032763302
1388,0.032740954
1389,0.032730043
1390,0.032732993
1391,0.03274521
1392,0.03274268
1393,0.032729182
1394,0.032752644
1395,0.03277171
1396,0.032779694
1397,0.03275599
1398,0.03275535
1399,0.03275573
1400,0.0327582
1401,0.03274185
1402,0.032757085
1403,0.032762624
1404,0.032748964
1405,0.032749657
1406,0.032740667
1407,0.03276975
1408,0.032741584
1409,0.032739878
1410,0.032729153
1411,0.032741886
1412,0.032755494
1413,0.0327556
1414,0.032755803
1415,0.032755744
1416,0.03275593
1417,0.03274471
1418,0.032730684
1419,0.032762922
1420,0.032777075
1421,0.03275701
1422,0.032731313
1423,0.032746967
1424,0.032744285
1425,0.032765094
1426,0.03275481
1427,0.032736745
1428,0.032746036
1429,0.032751415
1430,0.0327482
1431,0.032750763
1432,0.032748476
1433,0.03275863
1434,0.032747623
1435,0.032746986
1436,0.0327498
1437,0.032755535
1438,0.032765444
1439,0.03277755
1440,0.03276835
